LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(32.93, 2.87, -42.54),(-0.06, 0.02, 1.00), (-31.22, 1.61, -40.62), (-0.03, 0.01, 1.00), (32.93, 2.87, -42.54), (-0.06, 0.02, 1.00)
(33.37, 3.31, -43.35),(-0.02, 0.06, 1.00), (-30.65, 1.92, -40.97), (0.03, 0.01, 1.00), (33.35, 3.31, -43.35), (-0.02, 0.06, 1.00)
(33.41, 3.36, -43.53),(-0.02, 0.06, 1.00), (-30.66, 1.77, -40.59), (0.02, 0.02, 1.00), (-27.79, 1.84, -40.72), (0.02, 0.02, 1.00)
(33.40, 3.36, -43.53),(-0.02, 0.05, 1.00), (-30.70, 1.65, -40.24), (0.01, 0.02, 1.00), (32.03, 3.32, -43.46), (-0.02, 0.05, 1.00)
(33.46, 3.23, -43.26),(-0.03, 0.05, 1.00), (-30.64, 1.85, -40.69), (0.01, 0.01, 1.00), (-0.24, 2.51, -41.91), (-0.01, 0.03, 1.00)
(34.17, 3.32, -43.27),(0.10, 0.11, 0.99), (-29.73, 1.60, -39.49), (0.13, 0.08, 0.99), (34.17, 3.32, -43.27), (0.10, 0.11, 0.99)
(34.07, 3.17, -43.00),(0.10, 0.10, 0.99), (-29.90, 1.89, -40.61), (0.12, 0.05, 0.99), (34.07, 3.17, -43.00), (0.10, 0.10, 0.99)
(33.85, 3.21, -43.16),(0.07, 0.09, 0.99), (-30.20, 1.88, -40.86), (0.10, 0.04, 0.99), (33.85, 3.21, -43.16), (0.07, 0.09, 0.99)
(33.69, 3.21, -43.14),(0.05, 0.08, 1.00), (-30.39, 1.65, -40.31), (0.09, 0.04, 0.99), (32.69, 3.19, -43.09), (0.05, 0.08, 1.00)
(33.62, 3.32, -43.33),(0.04, 0.07, 1.00), (-30.46, 2.10, -41.54), (0.09, 0.05, 0.99), (33.53, 3.32, -43.32), (0.04, 0.07, 1.00)
(33.55, 3.35, -43.32),(0.04, 0.07, 1.00), (-30.55, 1.97, -41.04), (0.07, 0.04, 1.00), (33.54, 3.35, -43.32), (0.04, 0.07, 1.00)
(33.54, 3.36, -43.36),(0.03, 0.07, 1.00), (-30.56, 2.08, -41.42), (0.07, 0.03, 1.00), (24.06, 3.17, -43.07), (0.04, 0.06, 1.00)
(33.57, 3.40, -43.49),(0.02, 0.06, 1.00), (-30.54, 1.97, -41.05), (0.07, 0.03, 1.00), (28.95, 3.30, -43.32), (0.03, 0.06, 1.00)
(33.64, 3.29, -43.29),(0.03, 0.05, 1.00), (-30.52, 1.98, -41.10), (0.07, 0.03, 1.00), (14.57, 2.90, -42.64), (0.04, 0.05, 1.00)
(33.69, 4.71, -47.47),(0.00, 0.00, 0.00), (-30.68, 2.59, -42.61), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.67, 3.97, -44.68),(0.00, 0.00, 0.00), (-30.63, 0.92, -41.10), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.67, 3.97, -44.68),(0.00, 0.00, 0.00), (-30.63, 0.92, -41.10), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.43, 3.39, -43.91),(0.00, 0.00, 0.00), (-30.89, 2.03, -41.76), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.41, 3.12, -43.56),(0.00, 0.00, 0.00), (-30.82, 1.96, -41.80), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.44, 3.03, -43.45),(0.00, -0.04, 1.00), (-30.76, 1.64, -41.07), (0.05, -0.07, 1.00), (-22.74, 1.82, -41.36), (0.04, -0.07, 1.00)
(33.47, 2.90, -43.14),(0.00, -0.04, 1.00), (-30.74, 1.57, -40.87), (0.05, -0.07, 1.00), (-22.72, 1.74, -41.16), (0.04, -0.07, 1.00)
(33.51, 2.83, -42.91),(0.01, -0.04, 1.00), (-30.67, 1.72, -41.24), (0.06, -0.07, 1.00), (-30.43, 1.72, -41.24), (0.06, -0.07, 1.00)
(33.54, 2.85, -42.98),(0.02, -0.04, 1.00), (-30.62, 1.42, -40.32), (0.06, -0.07, 1.00), (-7.56, 1.94, -41.28), (0.04, -0.05, 1.00)
(33.47, 2.78, -42.79),(0.02, -0.03, 1.00), (-30.71, 1.58, -40.91), (0.06, -0.06, 1.00), (32.38, 2.76, -42.76), (0.02, -0.03, 1.00)
(31.53, 2.99, -43.29),(-0.20, -0.03, 0.98), (-32.40, 1.55, -41.15), (-0.16, -0.04, 0.99), (15.69, 2.63, -42.76), (-0.19, -0.03, 0.98)
(31.04, 2.94, -43.44),(-0.29, -0.03, 0.96), (-32.93, 1.55, -41.32), (-0.25, -0.05, 0.97), (-31.96, 1.57, -41.35), (-0.25, -0.05, 0.97)
